pubchem_id,molecular_weight,hbd_count,hba_count,xlogp,natural
4,75.111,2,2,-1,1
40,164.157,4,5,-1.6,0
47,130.143,1,3,1.1,0
49,116.116,1,3,0.7,1
51,146.098,2,5,-0.9,0
58,102.089,1,3,0.1,1
70,130.143,1,3,0.9,1
72,154.121,3,4,1.1,1
73,427.203,6,14,-4.6,0
107,150.177,1,2,1.8,1
119,103.121,2,3,-3.2,1
125,124.139,2,2,0.2,1
126,122.123,1,2,1.4,1
135,138.122,2,3,1.6,1
176,60.052,1,2,-0.2,1
177,44.053,0,1,-0.3,1
178,59.068,1,1,-0.9,1
179,88.106,1,2,-0.3,1
180,58.08,0,1,-0.1,1
188,384.334,7,12,-4.2,0
191,267.245,4,8,-1.1,0
196,146.142,2,4,0.1,1
197,427.203,6,14,-4.6,0
206,180.156,5,6,-2.6,1
222,17.031,1,1,-0.7,0
224,347.224,5,11,-3.5,0
228,427.281,5,14,-3.9,0
229,150.13,4,5,-2.5,0
238,507.181,7,17,-5.7,0
239,89.094,2,3,-3,1
240,106.124,0,1,1.5,1
243,122.123,1,2,1.9,1
244,108.14,1,1,1.1,1
247,117.148,0,2,0.5,1
261,72.107,0,1,0.9,1
262,90.122,2,2,-0.9,1
263,74.123,1,1,0.9,1
264,88.106,1,2,0.8,1
274,329.209,3,10,-2.6,0
280,44.009,0,2,0.9,0
284,46.025,1,2,-0.2,1
294,342.297,8,11,-4.7,1
309,174.108,3,6,-1,1
311,192.123,4,7,-1.7,1
313,36.458,1,0,0.8,1
323,146.145,0,2,1.4,1
325,150.221,1,1,2.3,1
326,148.205,0,1,2.7,1
332,150.177,1,2,2.4,1
335,108.14,1,1,2,1
338,138.122,2,3,2.3,1
342,108.14,1,1,2,1
356,114.232,0,0,3.9,1
370,170.12,4,5,0.7,0
379,144.214,1,2,3,1
389,132.163,3,4,-4.4,0
402,34.076,1,1,0.5,1
453,182.172,6,6,-3.1,0
454,128.215,0,1,2.7,1
460,124.139,1,2,1.3,1
473,148.176,1,4,0.3,1
474,390.293,4,12,-5,0
508,587.16,8,20,-6.8,0
527,58.08,0,1,0.6,1
602,89.094,2,3,-3,1
604,196.155,6,7,-3.4,0
612,90.078,2,3,-0.7,1
620,411.204,5,13,-3.3,0
621,331.225,4,10,-2.2,0
622,491.182,6,16,-4.4,0
650,86.09,0,2,-1.3,1
653,336.299,2,6,2.1,0
660,148.161,0,2,1.6,1
670,90.078,2,3,-1.4,1
674,45.085,1,1,-0.2,1
679,78.129,0,2,-0.6,1
702,46.069,1,1,-0.1,1
704,560.35,9,18,-9.2,0
743,132.115,2,4,-0.3,1
750,75.067,2,3,-3.2,1
753,92.094,3,3,-1.8,1
768,27.026,0,1,0.1,1
784,34.014,2,2,-0.9,1
785,110.112,2,2,0.6,1
791,131.175,2,3,-1.7,1
798,117.151,1,0,2.1,1
802,175.187,2,2,1.4,1
827,152.146,5,5,-2.5,0
840,164.157,4,5,-2.1,0
841,164.157,4,5,-2.2,0
871,504.438,11,16,-6.9,0
872,342.297,8,11,-4.7,0
875,150.086,4,6,-1.9,1
876,149.208,2,4,-1.9,1
878,48.103,1,1,0.5,1
880,72.063,0,2,-0.4,1
887,32.042,1,1,-0.5,1
927,543.319,7,17,-5.6,0
931,128.174,0,0,3.3,1
932,272.256,3,5,2.4,1
936,122.127,1,2,-0.4,0
948,44.013,0,2,0.5,0
957,130.231,1,1,3,1
962,18.015,1,1,-0.5,0
964,104.061,2,4,-1,1
971,90.034,2,4,-0.3,1
984,240.431,0,1,7.1,0
985,256.43,1,2,6.4,1
990,507.26,6,17,-5,0
994,165.192,2,3,-1.5,1
996,94.113,1,1,1.5,1
997,164.16,1,3,1.3,0
998,120.151,0,1,1.8,1
999,136.15,1,2,1.4,1
1001,121.183,1,1,1.4,1
1004,97.994,3,4,-2.1,1
1008,560.326,9,17,-6.6,0
1009,720.283,11,23,-8.8,0
1030,76.095,2,2,-0.9,1
1031,60.096,1,1,0.3,1
1032,74.079,1,2,0.3,1
1048,68.079,1,1,0.3,0
1049,79.102,0,1,0.7,1
1060,88.062,1,3,-0.3,1
1068,62.13,0,1,0.9,1
1101,180.156,5,6,-3.2,1
1103,202.346,4,4,-1.1,1
1110,118.088,2,4,-0.6,1
1115,342.297,8,11,-3.7,1
1119,64.058,0,3,0.1,1
1123,125.142,2,4,-4.1,1
1127,88.168,0,1,1.4,0
1130,265.355,2,5,1,1
1136,143.204,1,3,0.8,1
1140,92.141,0,0,2.7,1
1143,342.297,8,11,-4.2,0
1145,75.111,0,1,-0.3,0
1146,59.112,0,1,0.3,1
1182,117.148,2,3,-2.3,1
1183,152.149,1,3,1.2,1
1213,182.307,1,1,3.3,1
1254,156.269,1,1,3,1
1467,331.225,4,10,-2,0
1491,154.121,3,4,1.6,1
1548,537.591,3,17,-5.1,0
1549,541.623,7,17,-4.7,0
1601,491.182,6,16,-4.5,0
1603,507.181,7,17,-5.7,0
1736,192.123,3,7,-0.8,0
1737,194.139,5,7,-2.1,0
1813,507.181,7,17,-5.7,0
1889,256.257,2,4,2.2,1
1907,461.416,7,13,-5,0
1912,407.097,2,10,-1.6,0
1913,408.105,3,10,-1.5,0
1914,506.099,6,14,-3.6,0
1983,151.165,2,2,0.5,0
2024,329.209,3,10,-2.6,0
2027,427.203,6,14,-4.6,0
2028,523.242,7,17,-4,0
2080,236.271,3,4,-2.5,0
2108,194.183,4,6,-2.2,0
2153,180.167,1,3,0,0
2164,226.276,2,3,2.1,0
2180,457.432,7,12,-2.7,1
2194,240.353,0,4,2.8,0
2206,188.23,0,2,0.4,0
2214,166.176,1,3,0.5,1
2230,155.197,0,3,0.3,1
2236,341.275,1,7,3.6,1
2242,294.307,3,6,-2.7,0
2251,504.157,4,17,-6,0
2265,277.262,1,7,0.1,0
2294,184.195,2,3,0.6,0
2331,121.139,1,1,0.6,0
2345,212.248,0,2,4,1
2346,149.211,0,2,3.2,1
2353,336.367,0,4,3.6,0
2481,224.26,2,3,1.7,0
2483,272.256,4,5,2.8,0
2519,194.194,0,3,-0.1,1
2537,152.237,0,1,2.2,0
2576,260.334,2,4,1.9,0
2682,242.447,1,1,7.3,1
2707,165.394,2,2,1,0
2719,319.877,1,3,4.6,0
2725,274.792,0,2,3.4,0
2757,294.398,1,3,2.7,1
2758,154.253,0,1,2.5,1
2764,331.347,2,7,-1.1,0
2879,108.14,1,1,1.9,1
2955,248.3,2,4,1,0
2969,172.268,1,2,4.1,1
2972,139.154,1,3,0.5,0
2998,293.407,2,3,4.2,1
3026,278.348,0,4,4.7,1
3033,296.147,2,3,4.4,0
3055,309.453,1,2,4.2,0
3100,255.361,0,2,3.3,0
3102,182.222,0,1,3.4,1
3104,505.209,7,16,-5.9,0
3108,504.636,4,12,0.7,0
3182,254.246,2,5,-1.8,0
3229,320.324,2,8,-0.2,0
3242,234.259,0,5,1.3,0
3314,164.204,1,2,2,1
3325,337.435,4,8,-0.6,0
3368,365.214,5,12,-3.1,0
3371,281.234,2,6,5.2,0
3426,180.156,5,6,-2.8,0
3429,166.173,5,5,-2,0
3473,294.391,2,4,2.5,1
3476,490.619,3,5,3.9,0
3485,100.117,0,2,-0.5,0
3495,822.942,8,16,3.7,0
3516,198.218,2,4,1.4,0
3559,375.868,1,4,3.2,0
3594,610.565,8,15,-1.1,0
3611,164.204,1,2,2.1,1
3776,60.096,1,1,0.3,1
3778,230.311,0,2,1.7,0
3828,260.245,0,5,2.3,0
3871,344.313,9,11,-5.2,0
3872,342.297,8,11,-4.3,0
3879,985.127,8,20,0.2,1
3893,200.322,1,2,4.2,1
3948,351.354,2,8,-0.8,0
4004,330.35,0,8,2.4,0
4007,356.324,8,11,-4.5,0
4044,241.29,2,3,5.1,0
4059,182.219,2,3,1.4,0
4064,218.253,2,4,0.7,0
4091,129.167,3,1,-1.3,0
4095,309.453,0,2,3.9,0
4114,216.192,0,4,1.9,1
4131,345.252,4,10,-3,0
4133,152.149,1,3,2.3,1
