pubchem_id,chembl_id
4,CHEMBL326602
49,CHEMBL146554
58,CHEMBL171246
70,CHEMBL445647
72,CHEMBL37537
107,CHEMBL851
119,CHEMBL96
125,CHEMBL202132
126,CHEMBL14193
135,CHEMBL441343
176,CHEMBL539
177,CHEMBL170365
178,CHEMBL16081
179,CHEMBL3561873
180,CHEMBL14253
196,CHEMBL1157
206,
239,CHEMBL297569
240,CHEMBL15972
243,CHEMBL541
244,CHEMBL720
247,CHEMBL1182
261,CHEMBL1478334
262,CHEMBL2312529
263,CHEMBL14245
264,CHEMBL14227
284,CHEMBL116736
294,
309,
311,CHEMBL1261
313,CHEMBL1231821
323,CHEMBL6466
325,CHEMBL3183500
326,CHEMBL161577
332,CHEMBL1232595
335,CHEMBL46931
338,CHEMBL424
342,CHEMBL298312
356,CHEMBL134886
379,CHEMBL324846
402,CHEMBL1200739
402,CHEMBL2105487
454,CHEMBL18407
460,CHEMBL13766
473,CHEMBL1233860
527,CHEMBL275626
602,CHEMBL12198
612,CHEMBL1200559
650,CHEMBL365809
660,CHEMBL89306
670,CHEMBL1229937
674,CHEMBL120433
679,CHEMBL504
702,CHEMBL545
743,CHEMBL1162495
750,CHEMBL773
753,CHEMBL692
768,CHEMBL183419
784,CHEMBL71595
785,CHEMBL537
791,CHEMBL297800
798,CHEMBL15844
802,CHEMBL82411
875,CHEMBL333714
876,CHEMBL274119
878,
880,CHEMBL170721
887,CHEMBL14688
931,CHEMBL16293
932,CHEMBL32571
957,CHEMBL26215
964,
971,CHEMBL146755
985,CHEMBL82293
994,CHEMBL25080
996,CHEMBL14060
998,CHEMBL1233464
999,CHEMBL1044
1001,CHEMBL610
1004,CHEMBL1187
1030,CHEMBL286398
1031,CHEMBL14687
1032,CHEMBL14021
1049,CHEMBL266158
1060,CHEMBL1162144
1068,CHEMBL15580
1101,CHEMBL23894
1103,CHEMBL23194
1110,CHEMBL576
1115,
1119,CHEMBL1235997
1123,CHEMBL239243
1130,CHEMBL1547
1136,CHEMBL1236482
1140,CHEMBL9113
1146,CHEMBL439723
1182,CHEMBL11257
1183,CHEMBL13883
1213,
