target_chembl_id,target_organism,target_pref_name,molecule_chembl_id,molecule_pref_name,pchembl_value,standard_type,standard_relation,standard_value,standard_units,assay_chembl_id
CHEMBL364,Plasmodium falciparum,Plasmodium falciparum,CHEMBL326602,,,IC50,=,800000.0,nM,CHEMBL759677
CHEMBL612545,,Unchecked,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,100000.0,nM,CHEMBL855657
CHEMBL3879801,,NON-PROTEIN TARGET,CHEMBL37537,PROTOCATECHUIC ACID,4.80,IC50,=,15700.0,nM,CHEMBL855656
CHEMBL2362975,,No relevant target,CHEMBL37537,PROTOCATECHUIC ACID,4.57,IC50,=,27000.0,nM,CHEMBL855658
CHEMBL612545,,Unchecked,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,=,29500000.0,nM,CHEMBL891104
CHEMBL612545,,Unchecked,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,=,33884415613.92,nM,CHEMBL891104
CHEMBL3879801,,NON-PROTEIN TARGET,CHEMBL37537,PROTOCATECHUIC ACID,5.48,IC50,=,3310.0,nM,CHEMBL926741
CHEMBL364,Plasmodium falciparum,Plasmodium falciparum,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,5.0,ug.mL-1,CHEMBL1005679
CHEMBL1900,Homo sapiens,Aldose reductase,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,=,42.7,ug.mL-1,CHEMBL984565
CHEMBL613712,,Radical scavenging activity,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,=,77.63,ug.mL-1,CHEMBL984566
CHEMBL613712,,Radical scavenging activity,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,=,6.9,ug.mL-1,CHEMBL977603
CHEMBL3879801,,NON-PROTEIN TARGET,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,=,13.0,ug.mL-1,CHEMBL977604
CHEMBL2366505,Human immunodeficiency virus 1,Integrase,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,,,,CHEMBL977607
CHEMBL1293263,Plasmodium falciparum 3D7,M18 aspartyl aminopeptidase,CHEMBL37537,PROTOCATECHUIC ACID,6.32,IC50,=,479.4,nM,CHEMBL1614006
CHEMBL3837,Homo sapiens,Cathepsin L,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,59642.0,nM,CHEMBL1614088
CHEMBL612545,,Unchecked,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,,,,CHEMBL1816802
CHEMBL3879801,,NON-PROTEIN TARGET,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,=,2.47,ug.mL-1,CHEMBL3056040
CHEMBL613712,,Radical scavenging activity,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,,,,CHEMBL3056039
CHEMBL4296326,Homo sapiens,Anthrax toxin receptor 2,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,300000.0,nM,CHEMBL2327386
CHEMBL3318,Agaricus bisporus,Tyrosinase,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,100000.0,nM,CHEMBL3095776
CHEMBL612545,,Unchecked,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,50000.0,nM,CHEMBL3406311
CHEMBL612545,,Unchecked,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,50000.0,nM,CHEMBL3406310
CHEMBL612545,,Unchecked,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,50000.0,nM,CHEMBL3406312
CHEMBL392,Homo sapiens,A549,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,50000.0,nM,CHEMBL3614537
CHEMBL383,Homo sapiens,HL-60,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,50000.0,nM,CHEMBL3614536
CHEMBL612544,Homo sapiens,SW480,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,50000.0,nM,CHEMBL3614538
CHEMBL613831,Homo sapiens,SMMC-7721,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,50000.0,nM,CHEMBL3614539
CHEMBL612558,,ADMET,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,50000.0,nM,CHEMBL3614540
CHEMBL612545,,Unchecked,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,10000000.0,nM,CHEMBL3618916
CHEMBL614818,Homo sapiens,HEK293,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,15000000.0,nM,CHEMBL4017610
CHEMBL614781,Mus musculus,BV-2,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,>,100000.0,nM,CHEMBL4047079
CHEMBL612545,,Unchecked,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,=,231000.0,nM,CHEMBL4185193
CHEMBL399,Homo sapiens,HeLa,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,,,,CHEMBL4185194
CHEMBL4295843,Leishmania major,Dihydroorotate dehydrogenase (fumarate),CHEMBL37537,PROTOCATECHUIC ACID,,IC50,=,922000.0,nM,CHEMBL4263518
CHEMBL4295843,Leishmania major,Dihydroorotate dehydrogenase (fumarate),CHEMBL37537,PROTOCATECHUIC ACID,,IC50,=,1000000.0,nM,CHEMBL4263518
CHEMBL612348,Trypanosoma brucei rhodesiense,Trypanosoma brucei rhodesiense,CHEMBL37537,PROTOCATECHUIC ACID,,IC50,=,111600.0,nM,CHEMBL4263554
CHEMBL381,Mus musculus,B16,CHEMBL851,PHENYL PROPIONIC ACID,,IC50,>,100000.0,nM,CHEMBL1044224
CHEMBL3879801,,NON-PROTEIN TARGET,CHEMBL851,PHENYL PROPIONIC ACID,,IC50,>,100000.0,nM,CHEMBL1044230
CHEMBL3318,Agaricus bisporus,Tyrosinase,CHEMBL851,PHENYL PROPIONIC ACID,,IC50,>,100000.0,nM,CHEMBL1044238
CHEMBL3797016,Homo sapiens,C-terminal-binding protein 2,CHEMBL851,PHENYL PROPIONIC ACID,,IC50,>,300000.0,nM,CHEMBL3804623
CHEMBL2487,Homo sapiens,Beta amyloid A4 protein,CHEMBL851,PHENYL PROPIONIC ACID,,IC50,,,,CHEMBL4224270
CHEMBL2111463,Homo sapiens,GABA-B receptor,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.60,IC50,=,25.0,nM,CHEMBL682871
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,6.89,IC50,=,128.0,nM,CHEMBL682135
CHEMBL2111474,Rattus norvegicus,GABA B receptor,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.77,IC50,=,17.0,nM,CHEMBL679655
CHEMBL2111474,Rattus norvegicus,GABA B receptor,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.22,IC50,=,60.0,nM,CHEMBL679643
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.30,IC50,=,50000.0,nM,CHEMBL857372
CHEMBL376,Rattus norvegicus,Rattus norvegicus,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.16,IC50,=,70.0,nM,CHEMBL879336
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.48,IC50,=,33.0,nM,CHEMBL681303
CHEMBL2111478,Rattus norvegicus,GABA transporter,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.70,IC50,=,2000.0,nM,CHEMBL785010
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.52,IC50,=,30.0,nM,CHEMBL681240
CHEMBL2111474,Rattus norvegicus,GABA B receptor,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.52,IC50,=,30.0,nM,CHEMBL679653
CHEMBL341,Rattus norvegicus,GABA receptor alpha-2 subunit,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.66,IC50,=,22.0,nM,CHEMBL681143
CHEMBL376,Rattus norvegicus,Rattus norvegicus,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.58,IC50,=,2600.0,nM,CHEMBL782605
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.54,IC50,=,29.0,nM,CHEMBL679761
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.48,IC50,=,33.0,nM,CHEMBL681952
CHEMBL2111474,Rattus norvegicus,GABA B receptor,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.52,IC50,=,30.0,nM,CHEMBL679645
CHEMBL612545,,Unchecked,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.52,IC50,=,3000.0,nM,CHEMBL678714
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.75,IC50,=,18.0,nM,CHEMBL680643
CHEMBL2111474,Rattus norvegicus,GABA B receptor,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.52,IC50,=,30.0,nM,CHEMBL679646
CHEMBL376,Rattus norvegicus,Rattus norvegicus,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.70,IC50,=,2000.0,nM,CHEMBL806812
CHEMBL2093872,Homo sapiens,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.60,IC50,=,25.0,nM,CHEMBL681951
CHEMBL2093872,Homo sapiens,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.84,IC50,=,1450.0,nM,CHEMBL681949
CHEMBL376,Rattus norvegicus,Rattus norvegicus,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.07,IC50,=,8600.0,nM,CHEMBL781269
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.52,IC50,=,30.0,nM,CHEMBL685961
CHEMBL1903,Homo sapiens,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.30,IC50,=,5000.0,nM,CHEMBL806333
CHEMBL4889,Rattus norvegicus,GABA transporter 2,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.30,IC50,=,5000.0,nM,CHEMBL809055
CHEMBL5208,Homo sapiens,GABA transporter 3,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.16,IC50,=,7000.0,nM,CHEMBL679557
CHEMBL3715,Homo sapiens,Betaine transporter,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,4.44,IC50,=,36000.0,nM,CHEMBL806334
CHEMBL376,Rattus norvegicus,Rattus norvegicus,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,,IC50,=,3600000.0,nM,CHEMBL783510
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.48,IC50,=,33.0,nM,CHEMBL681132
CHEMBL2111478,Rattus norvegicus,GABA transporter,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.70,IC50,=,2000.0,nM,CHEMBL681134
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.70,IC50,=,20.0,nM,CHEMBL681130
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.00,IC50,=,100.0,nM,CHEMBL680683
CHEMBL2111474,Rattus norvegicus,GABA B receptor,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.40,IC50,=,40.0,nM,CHEMBL679644
CHEMBL296,Rattus norvegicus,GABA receptor gamma-1 subunit,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.48,IC50,=,33.0,nM,CHEMBL681136
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.82,IC50,=,15.0,nM,CHEMBL681138
CHEMBL1907607,Rattus norvegicus,GABA-A receptor; anion channel,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,7.60,IC50,=,25.0,nM,CHEMBL681137
CHEMBL2111478,Rattus norvegicus,GABA transporter,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.52,IC50,=,3000.0,nM,CHEMBL779556
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.58,IC50,=,2600.0,nM,CHEMBL830011
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.75,IC50,=,1800.0,nM,CHEMBL830009
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.54,IC50,=,2880.0,nM,CHEMBL830010
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.67,IC50,=,2150.0,nM,CHEMBL830010
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.54,IC50,=,2880.0,nM,CHEMBL831438
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.71,IC50,=,1970.0,nM,CHEMBL831438
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.75,IC50,=,1790.0,nM,CHEMBL830011
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.60,IC50,=,2500.0,nM,CHEMBL830009
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.79,IC50,=,1620.0,nM,CHEMBL830009
CHEMBL4054,Rattus norvegicus,GABA transporter 1,CHEMBL96,GAMMA-AMINOBUTYRIC ACID,5.56,IC50,=,2750.0,nM,CHEMBL830010
